,key,row_key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_sensor,famer_brand_list
19219,5f3ba6213fd5b671b220524c,184,www.pcconnection.com,dscw830,830,/,/,sonydscw830,,,,,,Super HAD CCD,Super HAD CCD,sony
19220,5f3ba6213fd5b671b220524e,185,www.pcconnection.com,60d,60,/,/,canoneos60d,,,,,,CMOS,CMOS,canon
19221,5f3ba6213fd5b671b2205259,186,www.pcconnection.com,aw120,120,/,/,nikoncoolpixaw120,,,,,,BSI-CMOS,BSI-CMOS,nikon
19222,5f3ba6213fd5b671b220525b,187,www.pcconnection.com,vh520,520,/,/,olympusvh520,,,,,,CMOS,CMOS,olympus
19223,5f3ba6213fd5b671b2205261,188,www.pcconnection.com,xp100,100,/,/,fujifilmfinepixxp100,,,,,,CMOS,CMOS,fujifilm
19224,5f3ba6213fd5b671b220526b,189,www.pcconnection.com,s02,02,/,/,nikoncoolpixs02,,,,,,CMOS,CMOS,nikon
19225,5f3ba6213fd5b671b220526c,190,www.pcconnection.com,t4i,4,/,/,canoncanoneosrebelt4i,,,,,,CMOS,CMOS,canon
19226,5f3ba6213fd5b671b220527a,191,www.pcconnection.com,wgm1,1,/,/,pentaxwgm1,,,,,,,,pentax
19227,5f3ba6213fd5b671b220527c,192,www.pcconnection.com,wb2100f,2100,/,/,samsungwb2100f,,3 ,4.7,3.3,,BSI-CMOS,BSI-CMOS,samsung
19228,5f3ba6213fd5b671b220527e,193,www.pcconnection.com,xp55,55,/,/,fujifilmfinepixxp55,,,,,,,,fujifilm
19229,5f3ba6213fd5b671b2205287,194,www.pcconnection.com,sh1,1,/,/,olympusstylussh1,,,,,,BSI-CMOS,BSI-CMOS,olympus
20935,5f3ba6213fd5b671b22051cb,195,www.pcconnection.com,epl2,2,/,/,olympusepl2,,,,,,High Speed Live MOS,High Speed Live MOS,olympus
20936,5f3ba6213fd5b671b22051cd,196,www.pcconnection.com,a5000,5000,/,/,sonyalphaa5000,,,,,,Exmor APS HD CMOS,Exmor APS HD CMOS,sony
20937,5f3ba6213fd5b671b22051ce,197,www.pcconnection.com,a7,7,/,/,sonya7,,,,,,Exmor CMOS,Exmor CMOS,sony
20938,5f3ba6213fd5b671b22051d2,198,www.pcconnection.com,vs536,536,/,/,sakarvs536,,,,,,CMOS,CMOS,sakar
20939,5f3ba6213fd5b671b22051e3,199,www.pcconnection.com,x20,20,/,/,fujifilmx20,,,,,,,,fujifilm
20940,5f3ba6213fd5b671b22051ee,200,www.pcconnection.com,v3,3,/,/,nikonnikon1v3,,,,,,CMOS,CMOS,nikon
20941,5f3ba6213fd5b671b22051fa,201,www.pcconnection.com,sx700,700,/,/,canonpowershotsx700,4 ,30 ,4.4,2.6,269.32025,CMOS,CMOS,canon
20942,5f3ba6213fd5b671b22051ff,202,www.pcconnection.com,hs35,35,/,/,fujifilmfinepixhs35,,,,,,BSI EXR CMOS,BSI EXR CMOS,fujifilm
20943,5f3ba6213fd5b671b2205206,203,www.pcconnection.com,s02,02,/,/,nikoncoolpixs02,,,,,,CMOS,CMOS,nikon
20944,5f3ba6213fd5b671b220520c,204,www.pcconnection.com,nx20,20,/,/,samsungnx20,,,,,,CMOS,CMOS,samsung
20945,5f3ba6213fd5b671b2205224,205,www.pcconnection.com,xs1,1,/,/,fujifilmxs1,,,,,,EXR-CMOS,EXR-CMOS,fujifilm
20946,5f3ba6213fd5b671b2205229,206,www.pcconnection.com,aw120,120,/,/,nikoncoolpixaw120,,,,,,BSI-CMOS,BSI-CMOS,nikon
20947,5f3ba6213fd5b671b2205232,207,www.pcconnection.com,lz40,40,/,/,panasoniclumixlz40,,,,,,CCD,CCD,panasonic
20948,5f3ba6213fd5b671b2205233,208,www.pcconnection.com,hps510,510,/,/,vistaquesthps510,,,,,,CCD,CCD,vista
20949,5f3ba6213fd5b671b2205264,209,www.pcconnection.com,dmcts5,5,/,/,panasoniclumixdmcts5,4 ,4.6 ,4.30,2.65,213.18823999999998,CMOS,CMOS,panasonic
20950,5f3ba6213fd5b671b2205273,210,www.pcconnection.com,ks1,1,/,/,pentaxks1,,,,,,,,pentax
20951,5f3ba6213fd5b671b220528f,211,www.pcconnection.com,tg3,3,/,/,olympusstylustoughtg3,,,,,,BSI-CMOS,BSI-CMOS,olympus
