,row_key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list
238,239,www.price-hunt.com,g1,1,/,/,canonpowershotg1,4,4,11.67,8.05,534.0,CMOS,canon
239,240,www.price-hunt.com,v210,210,/,/,panasonichcv210,,38,5.3,6.0,184.0,Mos,panasonic
240,241,www.price-hunt.com,qx10,10,/,/,sonydscqx10,,10,,,105.0,Exr CMOS,sony
241,242,www.price-hunt.com,s3000,3000,/,/,nikons3000,4,4,9.43,5.59,116.0,,nikon
242,243,www.price-hunt.com,vg160,160,/,/,olympusvg160,4,5,9.6,5.65,125.0,CCD,olympus
243,244,www.price-hunt.com,a810,810,/,/,canonpowershota810,4,5,9.47,6.13,174.0,CCD,canon
244,245,www.price-hunt.com,sj4000,4000,/,/,yourdealsj4000,4,,,,100.0,CMOS,yourdeal
245,246,www.price-hunt.com,sj4000,4000,/,/,yourdealsj4000,4,,,,100.0,CMOS,yourdeal
246,247,www.price-hunt.com,a58y,58,/,/,sonyalphaslta58y,,,12.86,9.55,492.0,CCD,sony
247,248,www.price-hunt.com,instax210,210,/,/,fujifilminstax210,,,17.85,11.75,610.0,,fujifilm
248,249,www.price-hunt.com,s3600,3600,/,/,nikoncoolpixs3600,4,8,9.71,5.79,125.0,CCD,nikon
249,250,www.price-hunt.com,v130,130,/,/,panasonichcv130,100,38,5.3,6.0,181.0,Bsi mos,panasonic
250,251,www.price-hunt.com,vr310,310,/,/,olympusvr310,4,10,10.06,5.82,158.0,CCD,olympus
251,252,www.price-hunt.com,sd1000e,1000,/,/,sonydcrsd1000e,160,12,25.5,23.2,2700.0,Exr CMOS,sony
252,253,www.price-hunt.com,a77v,77,/,/,sonyslta77v,,,14.26,10.4,653.0,HD CMOS,sony
253,254,www.price-hunt.com,dc3,3,/,/,panasonichxdc3,120,5,8.62,12.08,180.0,Mos,panasonic
254,255,www.price-hunt.com,sportsline99,99,/,/,rolleisportsline99,,4,9.89,6.15,140.0,,rollei
255,256,www.price-hunt.com,d3200,3200,/,/,nikond3200,,,12.5,9.6,505.0,CMOS,nikon
256,257,www.price-hunt.com,hz15,15,/,/,ricohhz15,6,15,10.85,6.0,203.0,CCD,ricoh
257,258,www.price-hunt.com,s6000,6000,/,/,nikons6000,2,7,9.7,5.55,156.0,,nikon
258,259,www.price-hunt.com,k30,30,/,/,pentaxk30,,,12.95,9.65,590.0,CMOS,pentax
259,260,www.price-hunt.com,pj340e,340,/,/,sonyhdrpj340e,350,30,,,215.0,CMOS,sony
260,261,www.price-hunt.com,6000l,6000,/,/,sonyilce6000l,4,,12.0,6.69,344.0,Exmor aps HD CMOS,sony
261,262,www.price-hunt.com,pj230e,230,/,/,sonyhdrpj230e,320,27,5.8,5.7,210.0,Exr CMOS,sony
262,263,www.price-hunt.com,"hd ghost\,hdghost",,/,/,drifthdghost,10,,5.2,10.5,167.0,CMOS,drift
263,264,www.price-hunt.com,7s,7,/,/,fujifilminstaxmini7s,,,11.95,12.15,320.0,,fujifilm
264,265,www.price-hunt.com,jv100,100,/,/,fujifilmfinepixjv100,6.3,3,9.3,5.5,126.0,CCD,fujifilm
265,266,www.price-hunt.com,fz70k,70,/,/,panasoniclumixdmcfz70k,5,60,13.02,9.7,606.0,Mos,panasonic
266,267,www.price-hunt.com,a3500,3500,/,/,canonpowershota3500,4,5,9.77,5.6,135.0,CCD,canon
267,268,www.price-hunt.com,7k,7,/,/,sonynex7k,10,,11.99,6.69,350.0,Exmor aps HD CMOS,sony
268,269,www.price-hunt.com,vg165,165,/,/,olympusstylusvg165,4,5,9.54,5.82,122.0,CCD,olympus
269,270,www.price-hunt.com,gr,,/,/,ricohgr,,,11.7,6.1,245.0,CMOS,ricoh
270,271,www.price-hunt.com,z981,981,/,/,kodakeasysharez981,5,26,12.45,8.38,519.0,CCD,kodak
271,272,www.price-hunt.com,600d,600,/,/,canoneos600d,,,,,,,canon
272,273,www.price-hunt.com,p330,330,/,/,nikonperformancep330,2,5,,,200.0,CMOS,nikon
273,274,www.price-hunt.com,p7000,7000,/,/,nikoncoolpixp7000,4,7.1,11.42,7.7,360.0,CCD,nikon
274,275,www.price-hunt.com,s200,200,/,/,canonpowershots200,5,,9.98,5.9,181.0,,canon
275,276,www.price-hunt.com,t200,200,/,/,fujifilmfinepixt200,6.7,10,9.7,5.65,151.0,CCD,fujifilm
276,277,www.price-hunt.com,az521,521,/,/,kodakastrozoomaz521,4,52,12.13,8.58,,CMOS,kodak
277,278,www.price-hunt.com,fp5,5,/,/,panasoniclumixdmcfp5,4,4,10.1,5.89,141.0,CCD,panasonic
278,279,www.price-hunt.com,s80,80,/,/,nikons80,4,5,9.88,6.26,133.0,CCD,nikon
279,280,www.price-hunt.com,s5,5,/,/,panasoniclumixdmcs5,4,4,9.79,5.66,112.0,CCD,panasonic
280,281,www.price-hunt.com,7r,7,/,/,sonyilce7r,2,,12.69,9.44,465.0,Exmor CMOS,sony
281,282,www.price-hunt.com,pl210,210,/,/,samsungpl210,1.0,10,10.04,5.85,148.0,CCD,samsung
282,283,www.price-hunt.com,h300,300,/,/,sonycybershotdsch300,,35,12.75,8.9,590.0,Super had CCD,sony
283,284,www.price-hunt.com,5d,5,/,/,canoneos5d,,,15.2,11.64,950.0,CMOS,canon
284,285,www.price-hunt.com,vh520,520,/,/,olympusstylusvh520,2,10,10.18,5.68,148.0,CMOS,olympus
285,286,www.price-hunt.com,fh4,4,/,/,panasoniclumixdmcfh4,4,4,9.76,5.62,113.0,CCD,panasonic
286,287,www.price-hunt.com,l27,27,/,/,nikoncoolpixl27,4,5,9.64,5.92,161.0,CCD,nikon
287,288,www.price-hunt.com,f5,5,/,/,panasonicdigitaldmcf5,,5,,,,,panasonic
288,289,www.price-hunt.com,sx60,60,/,/,canonpowershotsx60,,65,,,650.0,,canon
289,290,www.price-hunt.com,ixus500,500,/,/,canondigitalixus500,4,12,8.71,5.39,155.0,CMOS,canon
290,291,www.price-hunt.com,60d,60,/,/,canoneos60d,1.5,,14.45,10.58,755.0,CMOS,canon
291,292,www.price-hunt.com,w510,510,/,/,sonycybershotdscw510,8,4,,,117.0,CCD,sony
292,293,www.price-hunt.com,fhd18,18,/,/,tvcicamfhd18,8,,,,,CMOS,tvc
293,294,www.price-hunt.com,fz151,151,/,/,kodakpixprofz151,6,15,,,180.0,CCD,kodak
294,295,www.price-hunt.com,a58k,58,/,/,sonyalphaslta58k,,,12.86,9.55,573.0,HD CMOS,sony
295,296,www.price-hunt.com,d4,4,/,/,nikond4,,,16.0,15.65,1340.0,CMOS,nikon
296,297,www.price-hunt.com,dv138,138,/,/,wesprodv138,4,,9.5,5.7,95.0,,wespro
297,298,www.price-hunt.com,es90,90,/,/,samsunges90,3,5,9.69,5.8,120.0,CCD,samsung
298,299,www.price-hunt.com,s5100,5100,/,/,nikons5100,2,5,9.71,5.69,115.0,CCD,nikon
299,300,www.price-hunt.com,70d,70,/,/,canoneos70d,,,13.9,10.43,755.0,CMOS,canon
300,301,www.price-hunt.com,s9600,9600,/,/,nikoncoolpixs9600,4,22,10.86,6.1,206.0,CMOS,nikon
301,302,www.price-hunt.com,newlink,,/,/,wespronewlinkcamcorder,4,,,,184.0,CMOS,wespro
302,303,www.price-hunt.com,v750,750,/,/,panasonichcv750,60,20,6.5,7.3,353.0,Bsi mos,panasonic
303,304,www.price-hunt.com,a,,/,/,nikoncoolpixa,,,11.1,6.43,299.0,CMOS,nikon
304,305,www.price-hunt.com,"hd ghost\,hdghost",,/,/,drifthdghost,10,,5.2,10.5,167.0,CMOS,drift
305,306,www.price-hunt.com,jv200,200,/,/,fujifilmfinepixjv200,6.7,3,9.4,5.62,125.0,CCD,fujifilm
306,307,www.price-hunt.com,s6700,6700,/,/,nikoncoolpixs6700,4,10,9.53,5.82,137.0,CCD,nikon
307,308,www.price-hunt.com,h5,5,/,/,casioexilimexh5,4,10,10.4,5.9,174.0,CCD,casio
308,309,www.price-hunt.com,fh5,5,/,/,panasonicdmcfh5,4,4,9.43,5.35,104.0,CCD,panasonic
309,310,www.price-hunt.com,pj240e,240,/,/,sonyhdrpj240e,320,27,,,210.0,CMOS,sony
310,311,www.price-hunt.com,a58k,58,/,/,sonyslta58k,,,12.86,9.55,573.0,HD CMOS,sony
311,312,www.price-hunt.com,rx100,100,/,/,sonydscrx100,14,3.6,10.16,5.81,281.0,Exr CMOS,sony
312,313,www.price-hunt.com,a77v,77,/,/,sonyalphaa77v,,,14.26,10.4,653.0,Exmor aps HD CMOS,sony
313,314,www.price-hunt.com,pj240e,240,/,/,sonyhdrpj240e,320,27,,,210.0,CMOS,sony
314,315,www.price-hunt.com,sj4000,4000,/,/,yourdealsj4000,4,,,,100.0,CMOS,yourdeal
315,316,www.price-hunt.com,sl1000,1000,/,/,fujifilmfinepixsl1000,2,50,12.27,8.86,659.0,CMOS,fujifilm
316,317,www.price-hunt.com,v10,10,/,/,panasonichcv10,100,63,5.5,6.45,212.0,CMOS,panasonic
317,318,www.price-hunt.com,pj240e,240,/,/,sonyhdrpj240e,320,27,,,210.0,CMOS,sony
318,319,www.price-hunt.com,st66,66,/,/,samsungst66,5,5,9.0,5.26,101.0,CCD,samsung
319,320,www.price-hunt.com,vg150,150,/,/,olympusvg150,16,4,9.2,5.4,105.0,CCD,olympus
320,321,www.price-hunt.com,v110,110,/,/,panasonichcv110,,38,5.3,6.0,181.0,Mos,panasonic
321,322,www.price-hunt.com,e205b,205,/,/,jvcgze205b,200,40,,,215.0,Bsi CMOS,jvc
322,323,www.price-hunt.com,v230,230,/,/,panasonichcv230,150,50,5.3,5.9,211.0,Bsi mos,panasonic
323,324,www.price-hunt.com,icam16,16,/,/,tvcicam16,8,,,,181.0,CMOS,tvc
324,325,www.price-hunt.com,sl280,280,/,/,fujifilmslsl280,6.7,28,,,470.0,CCD,fujifilm
325,326,www.price-hunt.com,s6800,6800,/,/,nikoncoolpixs6800,4,12,9.68,5.75,145.0,CMOS,nikon
326,327,www.price-hunt.com,fh25,25,/,/,panasoniclumixdmcfh25,4,8,9.92,5.65,152.0,CCD,panasonic
