key,source,props_number,props_artist,props_year,props_album,props_length,props_language,props_title,props_recId
58c007cf9184900a77a26a27,1,010,David Bowie,,Alternative Biography,03:07,,(Alternative,1282
58c007cf9184900a77a26a28,1,006,Tommy heavenly⁶,2012,FEBRUARY & HEAVENLY,03:59,,DARK DARK SKY (FEBRUARY & HEAVENLY),1283
58c007cf9184900a77a26a29,5,9,Patsy Cline,1996,All-Time Greatest Hits,130000,English,Heartaches,1284
58c007cf9184900a77a26a2a,3,5,Roger Waters,,,2.72,English,Act 3: Scene 2: The Commune de Paris - The Collection,1285
58c007cf9184900a77a26a2b,1,3,[religiousm usic],2000,Splendor and Honor-Selected Canticles fromThe Hymnal 1982,04:44,,"Glorify the Lord, all you works of the Lord (S228) (Splendor and Honor-Selected Canticles fromThe Hymnal 1982)",7948
58c007cf9184900a77a26a2c,3,6,TKO,,,4.339,,Doin' Time - Below the Belt,1286
58c007cf9184900a77a26a2d,1,68,Phil Beazley,,Voice Over Grooves,00:45,,Magic Carpet 1/2 (Voice Over Grooves),2034
58c007cf9184900a77a26a2e,4,1,World Standard,null,Country Gazette (1997),1m 15sec,Eng.,001-Introduction,1287
58c007cf9184900a77a26a2f,1,007,States Marine Band,2008,Music From The Land Of Hope And Glory,04:09,,William Byrd Suite: The Bells (Music From The Land Of Hope And Glory),6978
58c007cf9184900a77a26a30,5,18,Michael Cretu,1999,"Modern 80's: The Best of Discopop, Volume 2",312000,English,Samurai (Did You Ever Dream),1288
58c007cf9184900a77a26a31,4,7,Bob Marley,null,The Best of the Upsetter Years 1970-1971 (Bob Marley vs. Lee Scratch Perry) (1999),2m 23sec,Eng.,007-African Herbsman,8522
58c007cf9184900a77a26a32,2,6,,04,A Proper Introduction To Hank Snow:I'm Movin' On,127,English,Hank Snow - One More Ride,1289
58c007cf9184900a77a26a33,4,2,Flamingo Star,null,Eng.,3m 4 0sec,East Volume Lotus - Mixed by Ping (2009),002-Make My Day,8686
58c007cf9184900a77a26a34,1,017,Sean Paul feat. Fahrenheit,,Dutty Rock,03:47,,Bubble (Dutty Rock),1290
58c007cf9184900a77a26a35,1,003,Bensons,,2,04:13,,The Amazing Adventures of Monkey Roodle Ray (2),8751
58c007cf9184900a77a26a36,1,019,Apes of Wrath,,Wrap,01:10,,Toolkit (Wrap),1291
58c007cf9184900a77a26a37,5,11,Johnson,1999,The Chronological Classics: Joe Turner 1947-1948,194000,English,Riding Blues (Jockey Blues),6963
58c007cf9184900a77a26a38,3,2,Azure,'00,,5.518,E nglish,Grave Digger-  Requiem of Memory,3536
58c007cf9184900a77a26a39,4,1,Henry Purcell,null,"hmGold """"Les Tresors (The Treasures)"""" (2009)",4m 1sec,Eng.,001-Music for a while,1292
58c007cf9184900a77a26a3a,5,21,大谷幸,1999,ガメラ 3 邪神(イリス)覚醒,41888,Japanesee,染色体サンプル,587
58c007cf9184900a77a26a3b,1,002,Deadly Sins,2010,"Giant Cuts, Volume 3",05:45,,"Mirrors (Giant Cuts, Volume 3)",1293
58c007cf9184900a77a26a3c,2,5,,08,100 R&B Classics: The Anthems,223,English,De La Soul - Me Myself and I,8664
58c007cf9184900a77a26a3d,3,17,Louis Armstrong,'06,,3.28,English,Back O'Town Blues - The Collection,1294
58c007cf9184900a77a26a3e,2,13,,,American Outtakes,122,English,Johnny Cash - Old Chunk of Coal,5121
58c007cf9184900a77a26a3f,5,1,Mary’s Danish,1989,There Goes the Wondertruck...,203293,Englihs,Don't Crash the Car Tonight,1295
58c007cf9184900a77a26a40,3,3,Heed,'00,,3.653,English,New Plans - Breakeven 2200,4916
58c007cf9184900a77a26a41,4,5, ,null,   (1993),5m 57sec,Rus.,005- ,1296
58c007cf9184900a77a26a42,1,012,Emmylou Harris,2000,"Hear Music, Volume 1: A Look Homeward",05:07,,"Sweet Old World (Hear Music, Volume 1: A Look Homeward)",2488
58c007cf9184900a77a26a43,4,19,H. P. Lovecraft,null,Der Cthulhu Mythos (2002),4m 35sec,GGer.,019-Der schwarze Stein (08/11),1297
58c007cf9184900a77a26a44,3,9,Sagrado,'12,,0.4,English,Outro - Mass Sufferings of a Human Being,2547
58c007cf9184900a77a26a45,5,10,Etnica,2001,Macao Cafe,466000,Englizsh,Triptonite (Playa mix),1298
58c007cf9184900a77a26a46,3,9,Dinah Washhington,'08,,3.033,English,"How Deep Is the Ocean - I Was Born Ruth Lee Jones, But I Am Singing As Dinah",1299
58c007cf9184900a77a26a47,1,007,Byong!,2008,Gamelan Altenberg,11:30,,Baris (Gamelan Altenberg),1341
58c007cf9184900a77a26a48,5,8,Nico,1970,Desertshore,298666,[Multiple languages],All That Is My Own,1300
58c007cf9184900a77a26a49,3,11,N.W.A,'07,,4.483,English,100 Miles and Runnin’ - Greatest Hitz,1301
58c007cf9184900a77a26a4a,4,7,Teresa Brewer,null,Teenage Dance Party (1989),2m 25sec,Eng.,007-Rock Love,1302
58c007cf9184900a77a26a4b,1,006,Biffy Clyro,2011,Revolutions: Live at Wembley,03:09,,God and Satan (Revolutions: Live at Wembley),1208
58c007cf9184900a77a26a4c,5,6,Brody Dalle,2014,Diploid Lve,302073,English,,1303
58c007cf9184900a77a26a4d,4,AA2,Earth Leakage Trip,null,The Virtuality EP (1992),8m 43sec,EEng.,AA2-The Awakening,1619
58c007cf9184900a77a26a4e,5,9,The Used,2002,The Used,217640,English,Greener With the Scenery,1304
58c007cf9184900a77a26a4f,3,12,Olivia Newton-John & Cliff Richard,'03,,4.04,English,Suddenly - The Definitive Collection,4312
58c007cf9184900a77a26a50,3,7,尾崎紀世彦,'02,,2.883,Japanese,さよならをもう一度 - 続・青春歌年鑑 ’71 PLUS,4788
58c007cf9184900a77a26a51,5,1,Jazz on the Latin Side Allstars,2000,"Jazz on the Latin Side, Volume 2",17320,English,Intro,1305
58c007cf9184900a77a26a52,3,5,Lassigue Bendthaus,'94,C loned,5.317,English,Cloned #1 (4),1306
58c007cf9184900a77a26a53,3,3,Beth In Battle Mode,'09,Hot Science,3.5,English,Hot  Science,1307
58c007cf9184900a77a26a54,3,7,Acda en De Munnik,'09,,3.634,Dutch,Ik wou dat je een vreemde was - Jouw leven lang bij mij,1308
58c007cf9184900a77a26a55,1,008,Stormzone,,Three Kings,05:56,,The Pass Loning (Three Kings),1309
58c007cf9184900a77a26a56,5,4,Karan Casey,2001,The Winds Begin to Sing,207213,English,Éirigh Suas a Stóirín,1310
58c007cf9184900a77a26a57,2,4,,,Trails of Evil,170,English,49 Special - (There Ain't Nothing Like a) Honky Tonk Song,1311
58c007cf9184900a77a26a58,2,28,,02,"World, Dance, Indian",214,English,Matt Hill & Manickam Yogeswaran - Al-Kindi (full mix),1312
58c007cf9184900a77a26a59,5,9,positive MA,2003,beatmania: The Best Prominent,175066,English,Surge Line (Longlong),1313
58c007cf9184900a77a26a5a,1,008,X-Mann,2000,X-Mann,03:37,,Ce Sa Zic? (Mmmh!) (X-Mann),6137
58c007cf9184900a77a26a5b,2,3,,9,Pili jsme a budem,204,Czech,Alkehol - Hospodo nalejvej,1314
58c007cf9184900a77a26a5c,4,6,Ourson,null,Eth (2007),11m 43sec,Eng.,006-Osm,3803
58c007cf9184900a77a26a5d,1,001,Marilyn Manson,,"2001-06-08: New World Music Theatre, Tinley Park, IL, USA",05:26,,The,5096
58c007cf9184900a77a26a5e,1,004,Get It ,1993,Let Me See U Pop It,03:47,,03:47,5486
58c007cf9184900a77a26a5f,5,4,Traste Lindéns Kvintett,1991,Komsi komsi,222040,S weddish,Klubbkamrater,1315
58c007cf9184900a77a26a60,1,008,Verlorenen Söhne,,Gottes Schwert,03:21,,So Ist Mein Leben (Gottes Schwert),3916
58c007cf9184900a77a26a61,3,2,Milking the Goatmachine,'09,,3.183,English,A Tale of Slaughtering - Back From The Goats... A GoatEborg Fairy Tale,1316
58c007cf9184900a77a26a62,5,12,oY La Tengo,1987,New Wave Hot Dogs,210000,English,The Story of Jazz,4892
58c007cf9184900a77a26a63,3,11,Ray Abshire,'03,,4.417,English,Chere Bébé Creole - Pour les bons vieux temps,8575
58c007cf9184900a77a26a64,2,16,,04,Zero Tolerance II,357,English,Chuck Schuldiner - Left to Die (live),7532
58c007cf9184900a77a26a65,2,8,,10,Serial God,236,English,Muffled Shine - Mass Death Creating,1317
58c007cf9184900a77a26a66,3,13,Tunisiano,'14,,4.074,French,Mout - Marqué à vie,5645
58c007cf9184900a77a26a67,1,007,Kool Keith,2006,"HEAVYbreathing, Volume 2: Thrill Me!",01:05,,"Lick My Ass (HEAVYbreathing, Volume 2: Thrill Me!)",7379
58c007cf9184900a77a26a68,3,10,Triggerdaddy,,,3.092,English,Price of Love - Stereophonic Meltdown,4893
58c007cf9184900a77a26a69,2,4,,05,"What If Radiohead Were Dog?: The Atease Tribute to Radiohead, Volume 2",108,English,Yipuxia - Killer Cars,1318
58c007cf9184900a77a26a6a,3,9,Cherry Choke,'11,,7.267,English,Splinters - A Night in the Arms of Venus,1319
58c007cf9184900a77a26a6b,2,11,,,Dark Side Of The Moon Bounce,180,English,Rocknoceros - Seven Days A Week,8766
58c007cf9184900a77a26a6c,2,17,,03,3 favourieteLP's op 2 CD's,328,Dutch,Gerard van Maasakkers - Het liedeken van Rozemarijn,1320
58c007cf9184900a77a26a6d,3,2,Coal Train Railroad,,,2.038,English,My Mouth and Me - Coal Train Railroad,1942
58c007cf9184900a77a26a6e,5,329,Chris Goulstone,,Prom os 3: Rock Attack,5000,English,Skill Factor,1321
58c007cf9184900a77a26a6f,1,001,Eliot Morris,,Parker's Back,04:50,,Anyway (parker's BACK),5679
58c007cf9184900a77a26a70,2,4,,01,"Jerry Williams väljer århundradets rocklåtar, Volume 2",null,English,Crests - Sixteen Candles,1322
58c007cf9184900a77a26a71,2,6,,,12 Sucker Punches,null,English,The Knockoffs - King of My Castle,9190
58c007cf9184900a77a26a72,5,1,Larry Coryell,1972,Offering,497666,English,Foreplay,1323
58c007cf9184900a77a26a73,3,8,Barbie's Cradle,'03,,4.724,Filipino,1211-Idlip - Playing in the Fields,4703
58c007cf9184900a77a26a74,2,13,,10,El rey mono,null,Spanish,Gumy Kastellano - Kastellano,2930
58c007cf9184900a77a26a75,1,005,Factor T,2001,Song Fight! It's a Shame My Binoculars Don't Work at Night,00:00,,It's a Shame My Binoculars Don't Work at Night (Song Fight! It's a Shame My Binoculars Don't Work at Night),6446
58c007cf9184900a77a26a76,3,18,Cam'ron feat. Juelz Santana,'05,,2.283,English,Oh Boy - Westwood 10,5871
58c007cf9184900a77a26a77,1,013,Rollins Band,2000,Get Some Go Again,14:13,,Illuminator (L.A. Money Train) (Get Some Go Again),1324
58c007cf9184900a77a26a78,3,1,Atom™,'12,Winterreise,6.067,German,Winterreise,1325
58c007cf9184900a77a26a79,1,003,Walter Beasley,1989,Just Kickin' It,04:54,,I Would Never Go (Just Kickin' It),1326
58c007cf9184900a77a26a7a,1,010,Wind Hearse,,Witch's Arrows,03:32,,*** (Witch's Arrows),67
58c007cf9184900a77a26a7b,5,9,Kate Hurley,2006,Sleeping When You Woke Me,98840,English,Maybe,6152
58c007cf9184900a77a26a7c,2,2,,88,Handle With Care,254,English,Fisc - Live It Up,1327
58c007cf9184900a77a26a7d,4,5,Los Gatos,null,Rock de la mujer perdida (1969),5m 53sec,Spa.,005-Mujer de carbon,8240
58c007cf9184900a77a26a7e,2,8,,,Lounge de Luxe,139,English,Cyril Stapleton - She Loves You,5095
58c007cf9184900a77a26a7f,3,9,Broken Family Band,'05,,3.722,English,We,8306
58c007cf9184900a77a26a80,2,10,,04,Utopia,356,Indonesian,Utopia - Kosong,4849
58c007cf9184900a77a26a81,2,8,,95,I'm in the Mood for Love,106,English,Frank Sinatra - I'll String Along With You,1328
58c007cf9184900a77a26a82,5,6,Tori Amos,,"2009-09-17: Heineken Music Hall, Amsterdam, Netherlands",,English,Concertina,1329
58c007cf9184900a77a26a83,3,18,Magic Arrows,'05,,4.55,English,"She's a Light / Iowa - Little Darla Has a Treat for You, Volume 23",7925
58c007cf9184900a77a26a84,1,009,Песняры,2006,Лявоны,00:00,,Издалекихизкраев(Лявоны),8649
58c007cf9184900a77a26a85,4,3,La Misma Gente,null,Lo Mejor (1997),5m 15sec,Spa.,003-Beso gitano,1330
58c007cf9184900a77a26a86,1,003,Duke Ellington & Billy Strayhorn,2007,"TheNortonRecordings10thEdition,Volume2:SchuberttothePresent",00:52,,"Take the A Train (3 of 5) (The Norton Recordings 10th Edition, Volume 2: Schubert to the Present)",1331
58c007cf9184900a77a26a87,5,2,À caus' des garçons,1989,Pas envie d'expliquer,,French,Pas envie d'expliquer (instrumental),6070
58c007cf9184900a77a26a88,3,28,Glenn-Miller-and-The-Army-Air-Force-Band,'04,,5.257,English,"Moon Dreams - The Glenn Miller Story, Volume 17- 20",8656
58c007cf9184900a77a26a89,1,023,Michel Legrand,2013,Anthology,02:49,,Il était une fois l'espace (Anthology),1332
58c007cf9184900a77a26a8a,1,011,Carella Ross,2011,Human Garbage Assembly Line,03:44,,Heil: Pink Flesh (Human Garbage Assembly Line),1333
58c007cf9184900a77a26a8b,2,4,,06,Fragments_EP,257,English,Arts the Beatdoctor - Crazy Times (feat. Skiggy Rapz),1334
58c007cf9184900a77a26a8c,4,12,,null,Uncontrolled (2012),unknown,Eng.,012-ONLY YOU,9909
58c007cf9184900a77a26a8d,1,006,RudyAdrian,2001,"Iridescence: Sequencer Sketches, Volume 2",06:11,,"Reflections on Blue (Iridescence: Sequencer Sketches, Voluume 2)",1335
58c007cf9184900a77a26a8e,3,16,Lina Margy,'92,,2.217,French,Le Fiacre - Collection or,503
58c007cf9184900a77a26a8f,1,010,Joan Baez,1989,"All-Ears-Review,-Volume-7:-Still-Amazing-Aftedr-All-These-Years",04:28,,"Hand to Mouth (All-Ears Review, Volume 7: Still Amazing After All These Years)",9705
58c007cf9184900a77a26a90,4,3,Mago de Oz,null,"Hechizos, pocimas y brujeria (2012)",4m 23sec,SRpa.,003-Xanandra,1336
58c007cf9184900a77a26a91,2,4,,06,Finally We Are No One,343,English,"múm - Don’t Be Afraid, You Have Just Got Your Eyes Closed",6562
58c007cf9184900a77a26a92,2,5,,,"Noize, Booze and Tattoos",242,English,Pantera - Slaughtered,8401
58c007cf9184900a77a26a93,4,2,Soul Coughing,null,107.7 The End: End Sessions (1998),3m 41sec,EngQ.,002-Circles,6008
58c007cf9184900a77a26a94,5,7,Peppino di Capri,,I successissimi,231466,,Voce E Notte,1337
58c007cf9184900a77a26a95,2,8,,09,Make Lists Do ySomething,null,English,Magic Arm - Six Cold Feet of Ground,1338
58c007cf9184900a77a26a96,1,012,Robin Mark,2004,Revival in II Belfast,10:37,,The Wonder of Your Cross (Revival in Belfast II),4850
58c007cf9184900a77a26a97,5,10,Taj Mahal,1998,The Very Best of Taj Mahal,210253,English,I Miss You Baby,6202
58c007cf9184900a77a26a98,1,003,Denison Witmer,,"Are You a Dreamer? + """"Your Friend""""",04:54,,"Ringing of the Bell Tower (Are You a Dreamer? + """"Your Friend"""")",1339
58c007cf9184900a77a26a99,4,3,Antonelli,null,The Blackout Quintet (2005),2m 28sec,Eng.,003-Topaz,6036
58c007cf9184900a77a26a9a,5,10,Фактор-2,,Журавли,296725,Russian,Ну так иди же сюда,1340
58c007cf9184900a77a26a9b,4,7,HardFi,null,Once Upon a Time in the West (2007),2m 58sec,Eng.,008-Can't Get Along (Without You),6817
58c007cf9184900a77a26a9c,4,7,Byong!,null,Gamelan Altenberg (2008),11m 30sec,unknown,007-Baris,1341
58c007cf9184900a77a26a9d,4,24,Die Toten Hosen,null,All die ganzen Jahre: Raritaten 7984 (1995),1m 58sec,Ger.,024-Fruhstuckskorn,5333
58c007cf9184900a77a26a9e,2,60,,,Public Performance,30,English,Andy Vale - Rockfist (30 second version),1342
58c007cf9184900a77a26a9f,2,14,,,Uiteindelik,248,Afrikaans,Randall Wicomb - Die Blouberge,469
58c007cf9184900a77a26aa0,4,16,Chancho en Piedra,null,Chancho 6 (unknown),6m 6sec,unknown,0166-Eden,3501
58c007cf9184900a77a26aa1,2,A,,82,How Does It Feel?,264,English,Crass - How Does It Feel (To be the Mother of 1000 Dead)?,1343
58c007cf9184900a77a26aa2,2,16,,,Idolos De Siempre,127,null,Leo Dan - Pero... Raquel,3214
58c007cf9184900a77a26aa3,5,22,Brian D. Gulland,,Smile: A Most Cheerful Earful,21000,English,A Perfect Stillness (c) (edn link),1344
58c007cf9184900a77a26aa4,1,010,Climie Fisher,2011,The Best of Love Songs,00:00,,Rise to the Occasion (The Best of Love Songs),1345
58c007cf9184900a77a26aa5,5,3,Yüksek Sadakat,2007,Çeyrek,328506,Turkish,Ayrılış,1346
58c007cf9184900a77a26aa6,1,009,Elvis Costello & The Attractions,2002,Blood & Chocolate,04:19,,Crimes of Paris (Blood & Chocolate),5555
58c007cf9184900a77a26aa7,4,35,Georg Friedrich Handeel,null,Learn Handel's Messiah - Bass Enhanced (1988),0m 50sec,Eng.,Messiah: 35. Let all the angels of God worship Him 20/B,1347
58c007cf9184900a77a26aa8,4,17,Gnarls Barkley,null,Fresh Air (unknown),3m 41sec,Eng.,017-Surprise,1726
58c007cf9184900a77a26aa9,3,4,Hot Tuna,'79,,5.233,English,Water Song - Final Vinyl,1348
58c007cf9184900a77a26aaa,3,7,Sublime,'06,,3.133,English,STP - Everything Under the Sun,1349
58c007cf9184900a77a26aab,1,004,Rude Rich and the High Notes,,Soul Stomp,03:09,,On the Bank (Soul Stomp),144
58c007cf9184900a77a26aac,1,006,Sabah Habas Mustapha & The Jugala All Stars,,Jalan Kopo,05:33,,Waduh-(Jalan-Kopo),1350
58c007cf9184900a77a26aad,4,n.a .,Lars Lilholt,null,Kald Det Krlighed (1993),3m 45sec,unknown,006-Tines Sang,1351
58c007cf9184900a77a26aae,2,5,,,Rise Up,226,English,The  Mighty Diamonds - Rise Up,1352
58c007cf9184900a77a26aaf,4,6,Superaquello,null,Siempre vas a estar conmigo (2010),2m 43sec,Spa.,006-De boca,2676
58c007cf9184900a77a26ab0,3,4,Massimo Di Cataldo,,,5.193,,Adelante - Con el Alma,1353
58c007cf9184900a77a26ab1,1,008,Sophie-Tith,2013,Premières rencontres,03:44,,The A Team (Premières rencontres),4371
58c007cf9184900a77a26ab2,5,3,Kowton,2013,LivitySound,345000,English,More Games,1354
58c007cf9184900a77a26ab3,5,13,Fred Astaire,2002,Golden Greats,137973,English,A Couple of Song and Daance Men,680
58c007cf9184900a77a26ab4,3,2,Whigs,,,,English,"Technology - 2008-03-19: Opera House, Toronto, ON, Canada",1355
58c007cf9184900a77a26ab5,5,5,East India Youth,2014,Total Strife Forever,369506,English,"Heaven, How Long",5265
58c007cf9184900a77a26ab6,3,10,Lex van Someren,'08,,6.13,English,O-Daiku Drum Solo - Rhythm on Fire,1356
58c007cf9184900a77a26ab7,3,4,moumoon,'12,,3.995,Japanese,Chu Chu (Shinichi Osawa Remix) - 儚火,1357
58c007cf9184900a77a26ab8,1,006,Peter Andersson,2008,OEC 100: The Old Europa Cafe,03:29,,Kitchenscape (OEC 100: The Old Europa Cafe),1358
58c007cf9184900a77a26ab9,3,B6,Broadcast,'13,,0.9,English,The Equestrian Library - Berberian Sound Studio,2883
58c007cf9184900a77a26aba,5,5,At Vnace,2009,Ride the Sky,264000,English,Salvation Day,1359
58c007cf9184900a77a26abb,1,001,Moby,2000,Play: The B Sides,03:25,,Flower (Play: The B Sides),6111
58c007cf9184900a77a26abc,3,30,Haitham Al Hamwi,'03,,0.5,English,Habibi Wana - Arabian Fusion,1360
58c007cf9184900a77a26abd,2,10,,,Plu gMe In,229,English,AC/DC - Rock'n Roll Damnation (Apollo Theatre Glasgow April 1978),1361
58c007cf9184900a77a26abe,5,1,Down Below,2007,Private Soul Security,213106,English,Private Soul Security,1362
58c007cf9184900a77a26abf,2,2,,80,Symphony no. 9,1531,English,Gustav Mahler - Symphony no. 9 in D major: IV. Adagio,1363
58c007cf9184900a77a26ac0,3,10,Dylan Group,'00,,7.35,English,Knowing Insider - Ur-klang Search,8527
58c007cf9184900a77a26ac1,5,17,Austra Pumpure,2000,Austra Pumpure dzied Imanta Kalniņa dziesmas,167840,Latvian,Dziesma par Napoleonu (Alvas zaldātiņi),1364
58c007cf9184900a77a26ac2,2,11,,12,Stray Arrows: A Collection of Favorites,253,English,Chevelle - The Meddler,1365
58c007cf9184900a77a26ac3,5,3,Carol Noonan,2004,Somebody's Darling,331000,nEglish,Danny Boy,1366
58c007cf9184900a77a26ac4,3,3,Charlie Brown Gets a Valentine,'03,,2.133,English,Aesthetics of Yice - Dismissed,1367
58c007cf9184900a77a26ac5,5,1,Fausto Papetti,2088,27ª raccolta,209000,[Multiple languages],Lovers,6792
58c007cf9184900a77a26ac6,4,1,Delbert Bump,null,Organ-ization (2005),3m 38sec,Eng.,001-In the Zone,8873
58c007cf9184900a77a26ac7,4,3,Bloomfield,null,The Best of Lounge 3 (2011),5m 51sec,Eng.,003-Boulevard St. Germain,4662
58c007cf9184900a77a26ac8,5,1,Littl eVillage,,"1992-04-26: Orpheum Theatre, Boston, MA, USA (disc 1)",310000,English,Don't Go Away,1368
58c007cf9184900a77a26ac9,4,17,Ella Fitzgerald and Her Famous Orchestra,null,The Chronological Classics: Ella Fitzgerald 1940-1941 (1996),3m 4sec,Eng.,017-My Man,1369
58c007cf9184900a77a26aca,2,62,,,Drones & Tension BBeds,59,English,Mick Parker - Cone Fusion,9412
58c007cf9184900a77a26acb,3,11,John Denver & The Muppets,'06,,4.611,English,Medley: Alfie the Christmas Tree / Carol for a Christmas Tree / It's in Every One of Us - A Christmas Together,1370
58c007cf9184900a77a26acc,3,3,Osvaldo Pugliese,'98,,3.183,Spanish,La abandoné y no sabía - Sus Éxitos con Roberto Chanel,1371
58c007cf9184900a77a26acd,1,003,JoAnna James,,Jonna James,00:00,,That's How Much (JoAnna James),1372
58c007cf9184900a77a26ace,3,7,Rahsaan Roland Kirk,'05,,5.017,English,One Ton - Volunteered Slavery,4390
58c007cf9184900a77a26acf,4,3,B.G.K.,null,A Dutch Feast... The Complete Works of Balthasar Gerards Kommando (1999),1m 7sec,Eng.,00h3-Isolatiefolter,1373
58c007cf9184900a77a26ad0,5,3,Abida Parveen,,Chants soufis du Pakistan,651533,French,Ghazal (Hakim Nasser),454
58c007cf9184900a77a26ad1,2,5,,10,Volo,159,English,Last Harbour - All Of My Triumphs Are Written In Your Hand,1374
58c007cf9184900a77a26ad2,2,3,,,Wynton Kelly Trio With Joe Henderson: Complete Recordings,706,English,Wynton Kelly - Stardust / Old Folks,1375
58c007cf9184900a77a26ad3,5,33,Bruce Dikinson,1997,Accident of Birth,258360,English,Arc Nof Space,6441
58c007cf9184900a77a26ad4,2,2,,12,SPECIAL FINAL IN DOME MEMORIAL COLLECTION,null,[Multiple languages],SOL - WEDDING DRESS ENGLISH VERSION,1195
58c007cf9184900a77a26ad5,2,10,,07,Small Gods,387,English,Swati - New Me,1376
58c007cf9184900a77a26ad6,3,7,Felix Mendelssohn,'88,Lieder ohne Worte,2.4,English,"Lieder ohne Worte, Op. 67 No. 1 Es-dur: Andante",1377
58c007cf9184900a77a26ad7,4,1,Banda Magnificos,2000,Magnificos 2000,unknown,unknown,n.a.,1378
58c007cf9184900a77a26ad8,3,2,Krafty Kuts & C5 Joyriders,'03,Take It,,English,Take It (instrumental),1379
58c007cf9184900a77a26ad9,3,2,Nicki Minaj,'09,,1.367,English,Getting Paid - It's Barbie Bitch! The Mixtape,1380
58c007cf9184900a77a26ada,2,11,,,Theme From the Vegas Lounge,202,null,Vegas Lounge - Do Nothin' Till You Hear From Me,1381
58c007cf9184900a77a26adb,2,A2,,88,Children,221,English,The Mission - A Wing and a Prayer,2404
58c007cf9184900a77a26adc,5,15,Grady & Hazel Cole,2003,Flowers in the Wildwood: Women in Early Country Music 1923-1939,160800,English,"Brother, Be Ready for That Day",1382
58c007cf9184900a77a26add,4,3,Larry the Cable Guy,null,Tailgate Party (2009),3m 59sec,Eng.,003-Half Cocked,1383
58c007cf9184900a77a26ade,2,3,,97,Tesco Disco: Heavy Electronics II,291,English,Inade - Breaking the Walls,1384
58c007cf9184900a77a26adf,1,008,Joe Cocker,2000,"Les Voix en or, Volume 6",03:28,,"Night Calls (Les Voix en or, Volume 6)",3924
58c007cf9184900a77a26ae0,2,1 4,,05,Work It Out,201,null,Amino People - [untitled],6518
58c007cf9184900a77a26ae1,5,6,Phasme,2007,"JFX Bits, Volume 1: Digital Antithesis",235000,English,La Réalité,4258
58c007cf9184900a77a26ae2,5,8,Trio Rio,1990,"Who Dat, Mon?",288000,English,Helicopters,1385
58c007cf9184900a77a26ae3,1,005,2nd II None,,Tha Kollective,03:23,,Bounce!! (Tha Kollective),1386
58c007cf9184900a77a26ae4,3,1,TOKIO,'96,,1.837,[Multiple languages],19時のニユース (TV EDIT VERSION) - こどものおもちゃ サウンドトラック,1387
58c007cf9184900a77a26ae5,3,4,Michel Portal,'10,,5.158,French,Ombres - Baïlador,1441
58c007cf9184900a77a26ae6,2, 13,,06,I Wonder as I Wander: Carols & Love Songs,126,English,John Jacob Niles - Black Is the Color of My True Love's Hair,8154
58c007cf9184900a77a26ae7,2,14,,05,Vice-CD:-Presented-by-Fenchurch-#5,312,English,A Guy Called Gerald - First Try,1388
58c007cf9184900a77a26ae8,5,1,Frantic Flowers,1995,Five Smart Flops,177000,[Multiple languages],James,3017
58c007cf9184900a77a26ae9,1,009,John Ottman,1998,Snow White: A Tale of Terror,02:33,,Traitor (Snow White: A Tale of Terror),1389
58c007cf9184900a77a26aea,2,1,,05,Les Inrockuptibles présentent : Un printemps 2005,201,French,Maxïmo Park - Apply Some Pressure,1390
58c007cf9184900a77a26aeb,1,015,Tom Jones,2003,Reloaded:rGeatest Hits,03:43,,Without Love (There Is Nothing) (Reloaded: Greatest Hits),2659
58c007cf9184900a77a26aec,5,4,Fol kstone,2011,Sgangogatt,134000,Italian,Mit Dans,1391
58c007cf9184900a77a26aed,5,15,Toivo Asmer,2013,Päikest!,,Estonian,Üksik hunt,6457
58c007cf9184900a77a26aee,5,1,Elliott Smith,1997,Good Will Hunting,69200,English,Between the Bars (Orchestral),1392
58c007cf9184900a77a26aef,4,3,Stan Getz,null,Stan Getz and the Lighthouse All-Stars: Live (disc 2) (2007),unknown,Eng.,003-Luau,3093
58c007cf9184900a77a26af0,4,3,Talk Talk,null,Asides Besides (1998),5m 30sec,Eng.,003-My Foolish Friend (extended version),1393
58c007cf9184900a77a26af1,5,10,The Last Atlant,2009,Globetronica 2,,[Multiple languages],null,4033
58c007cf9184900a77a26af2,4,9,Alfredo Gobbi,null,1949-1957 (Coleccion 78 RPM) (2005),2m 52sec,Spa.,"009-Estrellita del sur (feat. Jorge Maciel, Hector Coral)",1394
58c007cf9184900a77a26af3,1,011,1.6 Band,,Broke Up,02:50,,Throwing Rocks (Broke Up),1395
58c007cf9184900a77a26af4,1,005,Folk Implosion,2003,X-Ray CD#02,04:05,,Leaving It Up To Me Me-Ray CD#02),6401
58c007cf9184900a77a26af5,2,16,,,Juvenile Wreck,179,null,Juvenile Wreck - Nothing Without You,1752
58c007cf9184900a77a26af6,3,16,Hell,'09,,0.683,English,Action (interlude) - eTufelswerk,1396
58c007cf9184900a77a26af7,1,005,Madonna,,20 Years on MTV: 1986,04:23,,Papa Don't (20 Years on MTV: 1986),1397
58c007cf9184900a77a26af8,4,9,DeCre w,null,Slackers (1997),2m 11sec,Eg.,009-Two Minutes of Scattered Hate,1398
58c007cf9184900a77a26af9,5,18,Mrs. Miller,1999,"Ultra-Lounge: Wild, Cool & Swingin': The Artist Collection, Volume 3",154226,English,Sweet Pea Pea,822
58c007cf9184900a77a26afa,3,35,Jerry Williams,'06,,,English,Done at Last (short) - Rises & Endings 1: Short,1399
